ts,price
2020-04-21,333.88
2020-04-22,325.48
2020-04-23,330.94
2020-04-24,331.56
2020-04-27,331.82
2020-04-28,335.76
2020-04-29,341.39
2020-04-30,347.67
2020-05-01,338.71
2020-05-04,334.9
2020-05-05,330.68
2020-05-06,335.77
2020-05-07,334.81
2020-05-08,339.09
2020-05-11,342.1
2020-05-12,338.91
2020-05-13,338.8
2020-05-14,332.44
2020-05-15,328.23
2020-05-18,330.7
2020-05-19,342.27
2020-05-20,338.82
2020-05-21,341.42
2020-05-22,338.7
2020-05-25,340.98
2020-05-26,347.01
2020-05-27,349.42
2020-05-28,350.85
2020-05-29,354
2020-06-01,351.83
2020-06-02,355.97
2020-06-03,360.78
2020-06-04,367.69
2020-06-05,367.54
2020-06-08,374.44
2020-06-09,374.56
2020-06-10,370.17
2020-06-11,364.98
2020-06-12,351.77
2020-06-15,350.54
2020-06-16,355.32
2020-06-17,363.03
2020-06-18,365.19
2020-06-19,364.46
2020-06-22,364.25
2020-06-23,363.91
2020-06-24,366.6
2020-06-25,356.79
2020-06-26,361.19
2020-06-29,357.66
2020-06-30,360.46
2020-07-01,360.81
2020-07-02,362.58
2020-07-03,368.49
2020-07-06,367.31
2020-07-07,370.11
2020-07-08,367.84
2020-07-09,367.41
2020-07-10,362.84
2020-07-13,368.14
2020-07-14,368.52
2020-07-15,368.99
2020-07-16,372.7
2020-07-17,372.88
2020-07-20,372.16
2020-07-21,376.97
2020-07-22,375.74
2020-07-23,374.36
2020-07-24,371.32
2020-07-27,366.68
2020-07-28,366.59
2020-07-29,367.37
2020-07-30,367.9
2020-07-31,359.66
2020-08-03,356.38
2020-08-04,364.2
2020-08-05,363.78
2020-08-06,364.82
2020-08-07,362.25
2020-08-10,364.09
2020-08-11,365.79
2020-08-12,370.6
2020-08-13,373.92
2020-08-14,372.24
2020-08-17,367.89
2020-08-18,368.94
2020-08-19,367.08
2020-08-20,368.14
2020-08-21,366.43
2020-08-24,365.8
2020-08-25,371.36
2020-08-26,369.87
2020-08-27,373.17
2020-08-28,370.71
2020-08-31,369.36
2020-09-01,367.3
2020-09-02,366.04
2020-09-03,372.13
2020-09-04,365.1
2020-09-07,362.14
2020-09-08,367.89
2020-09-09,363.24
2020-09-10,369.82
2020-09-11,367.54
2020-09-14,368.74
2020-09-15,368.4
2020-09-16,371.2
2020-09-17,372.07
2020-09-18,370.9
2020-09-21,367.86
2020-09-22,357.24
2020-09-23,358.26
2020-09-24,357.9
2020-09-25,356.15
2020-09-28,357.03
2020-09-29,363.24
2020-09-30,360.85
2020-10-01,361.91
2020-10-02,360.58
2020-10-05,363.61
2020-10-06,366.18
2020-10-07,365.65
2020-10-08,366.37
2020-10-09,368.66
2020-10-12,370.95
2020-10-13,373.15
2020-10-14,370.48
2020-10-15,369.65
2020-10-16,363.45
2020-10-19,368.06
2020-10-20,366.26
2020-10-21,365.99
2020-10-22,360.46
2020-10-23,360.21
2020-10-26,360.72
2020-10-27,356.36
2020-10-28,351.18
2020-10-29,342.1
2020-10-30,340.61
2020-11-02,343.2
2020-11-03,349.16
2020-11-04,354.38
2020-11-05,364
2020-11-06,367.16
2020-11-09,368.13
2020-11-10,380.66
2020-11-11,384.71
2020-11-12,386.8
2020-11-13,384.39
2020-11-16,386.89
2020-11-17,389.13
2020-11-18,388.3
2020-11-19,388.41
2020-11-20,387.38
2020-11-23,390.66
2020-11-24,390.59
2020-11-25,393
2020-11-26,392.44
2020-11-27,391.25
2020-11-30,392.29
2020-12-01,389.98
2020-12-02,390.96
2020-12-03,391.91
2020-12-04,391.54
2020-12-07,393.48
2020-12-08,392.74
2020-12-09,394.21
2020-12-10,394.54
2020-12-11,392.64
2020-12-14,391.68
2020-12-15,391.68
2020-12-16,393.79
2020-12-17,396.86
2020-12-18,396.51
2020-12-21,392.14
2020-12-22,387.76
2020-12-23,392.09
2020-12-24,395.99
2020-12-28,396.61
2020-12-29,399.87
2020-12-30,401.73
2020-12-31,400.09
2021-01-04,400.59
2021-01-05,400.84
2021-01-06,402.08
2021-01-07,408.09
2021-01-08,410.02
2021-01-11,410.41
2021-01-12,409.17
2021-01-13,408.81
2021-01-14,409.71
2021-01-15,411.19
2021-01-18,407.02
2021-01-19,410.15
2021-01-20,408.64
2021-01-21,412.45
2021-01-22,409.88
2021-01-25,410.18
2021-01-26,404.75
2021-01-27,407.63
2021-01-28,400.86
2021-01-29,401.21
2021-02-01,397.08
2021-02-02,402.26
2021-02-03,407.64
2021-02-04,407.07
2021-02-05,410.08
2021-02-08,410.16
2021-02-09,411.01
2021-02-10,411.21
2021-02-11,409.97
2021-02-12,411.12
2021-02-15,415.82
2021-02-16,419.88
2021-02-17,418.64
2021-02-18,415.87
2021-02-19,413.07
2021-02-22,413.81
2021-02-23,413.18
2021-02-24,410.96
2021-02-25,414.08
2021-02-26,408.98
2021-03-01,408.25
2021-03-02,412.06
2021-03-03,413.8
2021-03-04,411.71
2021-03-05,410.62
2021-03-08,410.23
2021-03-09,417.34
2021-03-10,419.96
2021-03-11,422.68
2021-03-12,423.43
2021-03-15,423.97
2021-03-16,424.08
2021-03-17,426.58
2021-03-18,425.41
2021-03-19,424.95
2021-03-22,422.53
2021-03-23,423.4
2021-03-24,421.95
2021-03-25,422.38
2021-03-26,424.19
2021-03-29,427.23
2021-03-30,428.14
2021-03-31,430.85
2021-04-01,429.61
2021-04-06,433.29
2021-04-07,434.57
2021-04-08,434.88
2021-04-09,436.67
2021-04-12,437.01
2021-04-13,435.45
2021-04-14,436.28
2021-04-15,436.66
2021-04-16,438.29
2021-04-19,442.44
2021-04-20,441.2
2021-04-21,434.21
2021-04-22,437.24
2021-04-23,439.2
2021-04-26,439.32
2021-04-27,440.28
2021-04-28,439.66
2021-04-29,440.64
2021-04-30,438.78
2021-05-03,437.87
2021-05-04,440.6
2021-05-05,435.21
2021-05-06,441.23
2021-05-07,441.86
2021-05-10,445.71
2021-05-11,444.43
2021-05-12,436.81
2021-05-13,436.06
2021-05-14,438.58
2021-05-17,443.02
2021-05-18,443.4
2021-05-19,441.01
2021-05-20,437.14
2021-05-21,442.4
2021-05-24,444.25
2021-05-25,445.49
2021-05-26,445.47
2021-05-27,445.1
2021-05-28,446.98
2021-05-31,448.83
2021-06-01,447.58
2021-06-02,450.21
2021-06-03,451.45
2021-06-04,451.17
2021-06-07,452.39
2021-06-08,453.62
2021-06-09,454.21
2021-06-10,454.73
2021-06-11,455.08
2021-06-14,458.13
2021-06-15,458.93
2021-06-16,459.16
2021-06-17,458.87
2021-06-18,458.71
2021-06-21,450.87
2021-06-22,455.65
2021-06-23,456.86
2021-06-24,453.47
2021-06-25,457.47
2021-06-28,457.71
2021-06-29,454.92
2021-06-30,456.27
2021-07-01,453.59
2021-07-02,456.15
2021-07-05,456.98
2021-07-06,458.38
2021-07-07,456.53
2021-07-08,458.68
2021-07-09,452.45
2021-07-12,458.11
2021-07-13,460.92
2021-07-14,460.76
2021-07-15,459.96
2021-07-16,456.38
2021-07-19,453.24
2021-07-20,445.18
2021-07-21,447.81
2021-07-22,455.3
2021-07-23,457.49
2021-07-26,461
2021-07-27,461
2021-07-28,458.86
2021-07-29,462.12
2021-07-30,462.69
2021-08-02,462.4
2021-08-03,464.48
2021-08-04,466.35
2021-08-05,467.96
2021-08-06,469.91
2021-08-09,469.88
2021-08-10,470.76
2021-08-11,472.44
2021-08-12,473.76
2021-08-13,474.61
2021-08-16,474.82
2021-08-17,472.8
2021-08-18,473.98
2021-08-19,472.47
2021-08-20,467.14
2021-08-23,470.18
2021-08-24,472.76
2021-08-25,471.75
2021-08-26,470.87
2021-08-27,470.02
2021-08-30,472.47
2021-08-31,472.85
2021-09-01,471.74
2021-09-02,472.95
2021-09-03,474.37
2021-09-06,471.74
2021-09-07,475.1
2021-09-08,472.68
2021-09-09,468.09
2021-09-10,467.68
2021-09-13,466.47
2021-09-14,467.57
2021-09-15,467.68
2021-09-16,463.9
2021-09-17,465.94
2021-09-20,458.94
2021-09-21,454.05
2021-09-22,459.61
2021-09-23,464.46
2021-09-24,466.8
2021-09-27,464.45
2021-09-28,461.98
2021-09-29,453.11
2021-09-30,456.54
2021-10-01,451.73
